achomharc,appeal,achomharctha,achomharc,d'achomharc mé,ar achomharc mé,níor achomharc mé,d'achomharc tú,ar achomharc tú,níor achomharc tú,d'achomharc sé, sí,ar achomharc sé, sí,níor achomharc sé, sí,d'achomharcamar,ar achomharcamar,níor achomharcamar,d'achomharc sibh,ar achomharc sibh,níor achomharc sibh,d'achomharc siad,ar achomharc siad,níor achomharc siad,achomharcadar,ar achomharcadar,níor achomharcadar
barr2,hinder,barr2tha,barr2,bharr2 mé,ar bharr2 mé,níor bharr2 mé,bharr2 tú,ar bharr2 tú,níor bharr2 tú,bharr2 sé, sí,ar bharr2 sé, sí,níor bharr2 sé, sí,bharr2amar,ar bharr2amar,níor bharr2amar,bharr2 sibh,ar bharr2 sibh,níor bharr2 sibh,bharr2 siad,ar bharr2 siad,níor bharr2 siad,bharr2adar,ar bharr2adar,níor bharr2adar
barrghearr,top,barrghearrtha,barrghearr,bharrghearr mé,ar bharrghearr mé,níor bharrghearr mé,bharrghearr tú,ar bharrghearr tú,níor bharrghearr tú,bharrghearr sé, sí,ar bharrghearr sé, sí,níor bharrghearr sé, sí,bharrghearramar,ar bharrghearramar,níor bharrghearramar,bharrghearr sibh,ar bharrghearr sibh,níor bharrghearr sibh,bharrghearr siad,ar bharrghearr siad,níor bharrghearr siad,bharrghearradar,ar bharrghearradar,níor bharrghearradar
barrUon,top up,barrUontha,barrUon,bharrUon mé,ar bharrUon mé,níor bharrUon mé,bharrUon tú,ar bharrUon tú,níor bharrUon tú,bharrUon sé, sí,ar bharrUon sé, sí,níor bharrUon sé, sí,bharrUonamar,ar bharrUonamar,níor bharrUonamar,bharrUon sibh,ar bharrUon sibh,níor bharrUon sibh,bharrUon siad,ar bharrUon siad,níor bharrUon siad,bharrUonadar,ar bharrUonadar,níor bharrUonadar
basc,bash,basctha,basc,bhasc mé,ar bhasc mé,níor bhasc mé,bhasc tú,ar bhasc tú,níor bhasc tú,bhasc sé, sí,ar bhasc sé, sí,níor bhasc sé, sí,bhascamar,ar bhascamar,níor bhascamar,bhasc sibh,ar bhasc sibh,níor bhasc sibh,bhasc siad,ar bhasc siad,níor bhasc siad,bhascadar,ar bhascadar,níor bhascadar
bearr,clip,bearrtha,bearr,bhearr mé,ar bhearr mé,níor bhearr mé,bhearr tú,ar bhearr tú,níor bhearr tú,bhearr sé, sí,ar bhearr sé, sí,níor bhearr sé, sí,bhearramar,ar bhearramar,níor bhearramar,bhearr sibh,ar bhearr sibh,níor bhearr sibh,bhearr siad,ar bhearr siad,níor bhearr siad,bhearradar,ar bhearradar,níor bhearradar
beibheal,bevel,beibhealtha,beibheal,bheibheal mé,ar bheibheal mé,níor bheibheal mé,bheibheal tú,ar bheibheal tú,níor bheibheal tú,bheibheal sé, sí,ar bheibheal sé, sí,níor bheibheal sé, sí,bheibhealamar,ar bheibhealamar,níor bheibhealamar,bheibheal sibh,ar bheibheal sibh,níor bheibheal sibh,bheibheal siad,ar bheibheal siad,níor bheibheal siad,bheibhealadar,ar bheibhealadar,níor bheibhealadar
beoghearr,vivisect,beoghearrtha,beoghearr,bheoghearr mé,ar bheoghearr mé,níor bheoghearr mé,bheoghearr tú,ar bheoghearr tú,níor bheoghearr tú,bheoghearr sé, sí,ar bheoghearr sé, sí,níor bheoghearr sé, sí,bheoghearramar,ar bheoghearramar,níor bheoghearramar,bheoghearr sibh,ar bheoghearr sibh,níor bheoghearr sibh,bheoghearr siad,ar bheoghearr siad,níor bheoghearr siad,bheoghearradar,ar bheoghearradar,níor bheoghearradar
beophian,tantalize,beophiantha,beophian,bheophian mé,ar bheophian mé,níor bheophian mé,bheophian tú,ar bheophian tú,níor bheophian tú,bheophian sé, sí,ar bheophian sé, sí,níor bheophian sé, sí,bheophianamar,ar bheophianamar,níor bheophianamar,bheophian sibh,ar bheophian sibh,níor bheophian sibh,bheophian siad,ar bheophian siad,níor bheophian siad,bheophianadar,ar bheophianadar,níor bheophianadar
bíog,start,bíogtha,bíog,bhíog mé,ar bhíog mé,níor bhíog mé,bhíog tú,ar bhíog tú,níor bhíog tú,bhíog sé, sí,ar bhíog sé, sí,níor bhíog sé, sí,bhíogamar,ar bhíogamar,níor bhíogamar,bhíog sibh,ar bhíog sibh,níor bhíog sibh,bhíog siad,ar bhíog siad,níor bhíog siad,bhíogadar,ar bhíogadar,níor bhíogadar
bior-róst,spitroast,bior-rósttha,bior-róst,bhior-róst mé,ar bhior-róst mé,níor bhior-róst mé,bhior-róst tú,ar bhior-róst tú,níor bhior-róst tú,bhior-róst sé, sí,ar bhior-róst sé, sí,níor bhior-róst sé, sí,bhior-róstamar,ar bhior-róstamar,níor bhior-róstamar,bhior-róst sibh,ar bhior-róst sibh,níor bhior-róst sibh,bhior-róst siad,ar bhior-róst siad,níor bhior-róst siad,bhior-róstadar,ar bhior-róstadar,níor bhior-róstadar
bladhm,flame,bladhmtha,bladhm,bhladhm mé,ar bhladhm mé,níor bhladhm mé,bhladhm tú,ar bhladhm tú,níor bhladhm tú,bhladhm sé, sí,ar bhladhm sé, sí,níor bhladhm sé, sí,bhladhmamar,ar bhladhmamar,níor bhladhmamar,bhladhm sibh,ar bhladhm sibh,níor bhladhm sibh,bhladhm siad,ar bhladhm siad,níor bhladhm siad,bhladhmadar,ar bhladhmadar,níor bhladhmadar
blaosc,puff,blaosctha,blaosc,bhlaosc mé,ar bhlaosc mé,níor bhlaosc mé,bhlaosc tú,ar bhlaosc tú,níor bhlaosc tú,bhlaosc sé, sí,ar bhlaosc sé, sí,níor bhlaosc sé, sí,bhlaoscamar,ar bhlaoscamar,níor bhlaoscamar,bhlaosc sibh,ar bhlaosc sibh,níor bhlaosc sibh,bhlaosc siad,ar bhlaosc siad,níor bhlaosc siad,bhlaoscadar,ar bhlaoscadar,níor bhlaoscadar
blogh,shatter,bloghtha,blogh,bhlogh mé,ar bhlogh mé,níor bhlogh mé,bhlogh tú,ar bhlogh tú,níor bhlogh tú,bhlogh sé, sí,ar bhlogh sé, sí,níor bhlogh sé, sí,bhloghamar,ar bhloghamar,níor bhloghamar,bhlogh sibh,ar bhlogh sibh,níor bhlogh sibh,bhlogh siad,ar bhlogh siad,níor bhlogh siad,bhloghadar,ar bhloghadar,níor bhloghadar
blosc,crack,blosctha,blosc,bhlosc mé,ar bhlosc mé,níor bhlosc mé,bhlosc tú,ar bhlosc tú,níor bhlosc tú,bhlosc sé, sí,ar bhlosc sé, sí,níor bhlosc sé, sí,bhloscamar,ar bhloscamar,níor bhloscamar,bhlosc sibh,ar bhlosc sibh,níor bhlosc sibh,bhlosc siad,ar bhlosc siad,níor bhlosc siad,bhloscadar,ar bhloscadar,níor bhloscadar
bog,soften,bogtha,bog,bhog mé,ar bhog mé,níor bhog mé,bhog tú,ar bhog tú,níor bhog tú,bhog sé, sí,ar bhog sé, sí,níor bhog sé, sí,bhogamar,ar bhogamar,níor bhogamar,bhog sibh,ar bhog sibh,níor bhog sibh,bhog siad,ar bhog siad,níor bhog siad,bhogadar,ar bhogadar,níor bhogadar
bogchas,jog,bogchastha,bogchas,bhogchas mé,ar bhogchas mé,níor bhogchas mé,bhogchas tú,ar bhogchas tú,níor bhogchas tú,bhogchas sé, sí,ar bhogchas sé, sí,níor bhogchas sé, sí,bhogchasamar,ar bhogchasamar,níor bhogchasamar,bhogchas sibh,ar bhogchas sibh,níor bhogchas sibh,bhogchas siad,ar bhogchas siad,níor bhogchas siad,bhogchasadar,ar bhogchasadar,níor bhogchasadar
bogh,bow,boghtha,bogh,bhogh mé,ar bhogh mé,níor bhogh mé,bhogh tú,ar bhogh tú,níor bhogh tú,bhogh sé, sí,ar bhogh sé, sí,níor bhogh sé, sí,bhoghamar,ar bhoghamar,níor bhoghamar,bhogh sibh,ar bhogh sibh,níor bhogh sibh,bhogh siad,ar bhogh siad,níor bhogh siad,bhoghadar,ar bhoghadar,níor bhoghadar
bolg,bulge,bolgtha,bolg,bholg mé,ar bholg mé,níor bholg mé,bholg tú,ar bholg tú,níor bholg tú,bholg sé, sí,ar bholg sé, sí,níor bholg sé, sí,bholgamar,ar bholgamar,níor bholgamar,bholg sibh,ar bholg sibh,níor bholg sibh,bholg siad,ar bholg siad,níor bholg siad,bholgadar,ar bholgadar,níor bholgadar
borr,swell,borrtha,borr,bhorr mé,ar bhorr mé,níor bhorr mé,bhorr tú,ar bhorr tú,níor bhorr tú,bhorr sé, sí,ar bhorr sé, sí,níor bhorr sé, sí,bhorramar,ar bhorramar,níor bhorramar,bhorr sibh,ar bhorr sibh,níor bhorr sibh,bhorr siad,ar bhorr siad,níor bhorr siad,bhorradar,ar bhorradar,níor bhorradar
bosc,bush,bosctha,bosc,bhosc mé,ar bhosc mé,níor bhosc mé,bhosc tú,ar bhosc tú,níor bhosc tú,bhosc sé, sí,ar bhosc sé, sí,níor bhosc sé, sí,bhoscamar,ar bhoscamar,níor bhoscamar,bhosc sibh,ar bhosc sibh,níor bhosc sibh,bhosc siad,ar bhosc siad,níor bhosc siad,bhoscadar,ar bhoscadar,níor bhoscadar
breab,bribe,breabtha,breab,bhreab mé,ar bhreab mé,níor bhreab mé,bhreab tú,ar bhreab tú,níor bhreab tú,bhreab sé, sí,ar bhreab sé, sí,níor bhreab sé, sí,bhreabamar,ar bhreabamar,níor bhreabamar,bhreab sibh,ar bhreab sibh,níor bhreab sibh,bhreab siad,ar bhreab siad,níor bhreab siad,bhreabadar,ar bhreabadar,níor bhreabadar
breac,speckle,breactha,breac,bhreac mé,ar bhreac mé,níor bhreac mé,bhreac tú,ar bhreac tú,níor bhreac tú,bhreac sé, sí,ar bhreac sé, sí,níor bhreac sé, sí,bhreacamar,ar bhreacamar,níor bhreacamar,bhreac sibh,ar bhreac sibh,níor bhreac sibh,bhreac siad,ar bhreac siad,níor bhreac siad,bhreacadar,ar bhreacadar,níor bhreacadar
bréag,cajole,bréagtha,bréag,bhréag mé,ar bhréag mé,níor bhréag mé,bhréag tú,ar bhréag tú,níor bhréag tú,bhréag sé, sí,ar bhréag sé, sí,níor bhréag sé, sí,bhréagamar,ar bhréagamar,níor bhréagamar,bhréag sibh,ar bhréag sibh,níor bhréag sibh,bhréag siad,ar bhréag siad,níor bhréag siad,bhréagadar,ar bhréagadar,níor bhréagadar
bréan,poUute,bréantha,bréan,bhréan mé,ar bhréan mé,níor bhréan mé,bhréan tú,ar bhréan tú,níor bhréan tú,bhréan sé, sí,ar bhréan sé, sí,níor bhréan sé, sí,bhréanamar,ar bhréanamar,níor bhréanamar,bhréan sibh,ar bhréan sibh,níor bhréan sibh,bhréan siad,ar bhréan siad,níor bhréan siad,bhréanadar,ar bhréanadar,níor bhréanadar
briog,prick,briogtha,briog,bhriog mé,ar bhriog mé,níor bhriog mé,bhriog tú,ar bhriog tú,níor bhriog tú,bhriog sé, sí,ar bhriog sé, sí,níor bhriog sé, sí,bhriogamar,ar bhriogamar,níor bhriogamar,bhriog sibh,ar bhriog sibh,níor bhriog sibh,bhriog siad,ar bhriog siad,níor bhriog siad,bhriogadar,ar bhriogadar,níor bhriogadar
broc,spoil,broctha,broc,bhroc mé,ar bhroc mé,níor bhroc mé,bhroc tú,ar bhroc tú,níor bhroc tú,bhroc sé, sí,ar bhroc sé, sí,níor bhroc sé, sí,bhrocamar,ar bhrocamar,níor bhrocamar,bhroc sibh,ar bhroc sibh,níor bhroc sibh,bhroc siad,ar bhroc siad,níor bhroc siad,bhrocadar,ar bhrocadar,níor bhrocadar
brón,grieve,bróntha,brón,bhrón mé,ar bhrón mé,níor bhrón mé,bhrón tú,ar bhrón tú,níor bhrón tú,bhrón sé, sí,ar bhrón sé, sí,níor bhrón sé, sí,bhrónamar,ar bhrónamar,níor bhrónamar,bhrón sibh,ar bhrón sibh,níor bhrón sibh,bhrón siad,ar bhrón siad,níor bhrón siad,bhrónadar,ar bhrónadar,níor bhrónadar
bronn,grant,bronntha,bronn,bhronn mé,ar bhronn mé,níor bhronn mé,bhronn tú,ar bhronn tú,níor bhronn tú,bhronn sé, sí,ar bhronn sé, sí,níor bhronn sé, sí,bhronnamar,ar bhronnamar,níor bhronnamar,bhronn sibh,ar bhronn sibh,níor bhronn sibh,bhronn siad,ar bhronn siad,níor bhronn siad,bhronnadar,ar bhronnadar,níor bhronnadar
brúcht,belch,brúchttha,brúcht,bhrúcht mé,ar bhrúcht mé,níor bhrúcht mé,bhrúcht tú,ar bhrúcht tú,níor bhrúcht tú,bhrúcht sé, sí,ar bhrúcht sé, sí,níor bhrúcht sé, sí,bhrúchtamar,ar bhrúchtamar,níor bhrúchtamar,bhrúcht sibh,ar bhrúcht sibh,níor bhrúcht sibh,bhrúcht siad,ar bhrúcht siad,níor bhrúcht siad,bhrúchtadar,ar bhrúchtadar,níor bhrúchtadar
bruion,quarrel,bruiontha,bruion,bhruion mé,ar bhruion mé,níor bhruion mé,bhruion tú,ar bhruion tú,níor bhruion tú,bhruion sé, sí,ar bhruion sé, sí,níor bhruion sé, sí,bhruionamar,ar bhruionamar,níor bhruionamar,bhruion sibh,ar bhruion sibh,níor bhruion sibh,bhruion siad,ar bhruion siad,níor bhruion siad,bhruionadar,ar bhruionadar,níor bhruionadar
buac,lixiviate,buactha,buac,bhuac mé,ar bhuac mé,níor bhuac mé,bhuac tú,ar bhuac tú,níor bhuac tú,bhuac sé, sí,ar bhuac sé, sí,níor bhuac sé, sí,bhuacamar,ar bhuacamar,níor bhuacamar,bhuac sibh,ar bhuac sibh,níor bhuac sibh,bhuac siad,ar bhuac siad,níor bhuac siad,bhuacadar,ar bhuacadar,níor bhuacadar
buantonn,perm,buantonntha,buantonn,bhuantonn mé,ar bhuantonn mé,níor bhuantonn mé,bhuantonn tú,ar bhuantonn tú,níor bhuantonn tú,bhuantonn sé, sí,ar bhuantonn sé, sí,níor bhuantonn sé, sí,bhuantonnamar,ar bhuantonnamar,níor bhuantonnamar,bhuantonn sibh,ar bhuantonn sibh,níor bhuantonn sibh,bhuantonn siad,ar bhuantonn siad,níor bhuantonn siad,bhuantonnadar,ar bhuantonnadar,níor bhuantonnadar
buiséad,budget,buiséadtha,buiséad,bhuiséad mé,ar bhuiséad mé,níor bhuiséad mé,bhuiséad tú,ar bhuiséad tú,níor bhuiséad tú,bhuiséad sé, sí,ar bhuiséad sé, sí,níor bhuiséad sé, sí,bhuiséadamar,ar bhuiséadamar,níor bhuiséadamar,bhuiséad sibh,ar bhuiséad sibh,níor bhuiséad sibh,bhuiséad siad,ar bhuiséad siad,níor bhuiséad siad,bhuiséadadar,ar bhuiséadadar,níor bhuiséadadar
burr,burr,burrtha,burr,bhurr mé,ar bhurr mé,níor bhurr mé,bhurr tú,ar bhurr tú,níor bhurr tú,bhurr sé, sí,ar bhurr sé, sí,níor bhurr sé, sí,bhurramar,ar bhurramar,níor bhurramar,bhurr sibh,ar bhurr sibh,níor bhurr sibh,bhurr siad,ar bhurr siad,níor bhurr siad,bhurradar,ar bhurradar,níor bhurradar
cac,defecate,cactha,cac,chac mé,ar chac mé,níor chac mé,chac tú,ar chac tú,níor chac tú,chac sé, sí,ar chac sé, sí,níor chac sé, sí,chacamar,ar chacamar,níor chacamar,chac sibh,ar chac sibh,níor chac sibh,chac siad,ar chac siad,níor chac siad,chacadar,ar chacadar,níor chacadar
calc,caulk,calctha,calc,chalc mé,ar chalc mé,níor chalc mé,chalc tú,ar chalc tú,níor chalc tú,chalc sé, sí,ar chalc sé, sí,níor chalc sé, sí,chalcamar,ar chalcamar,níor chalcamar,chalc sibh,ar chalc sibh,níor chalc sibh,chalc siad,ar chalc siad,níor chalc siad,chalcadar,ar chalcadar,níor chalcadar
cam,bend,camtha,cam,cham mé,ar cham mé,níor cham mé,cham tú,ar cham tú,níor cham tú,cham sé, sí,ar cham sé, sí,níor cham sé, sí,chamamar,ar chamamar,níor chamamar,cham sibh,ar cham sibh,níor cham sibh,cham siad,ar cham siad,níor cham siad,chamadar,ar chamadar,níor chamadar
can,sing,cantha,can,chan mé,ar chan mé,níor chan mé,chan tú,ar chan tú,níor chan tú,chan sé, sí,ar chan sé, sí,níor chan sé, sí,chanamar,ar chanamar,níor chanamar,chan sibh,ar chan sibh,níor chan sibh,chan siad,ar chan siad,níor chan siad,chanadar,ar chanadar,níor chanadar
caoch,blind,caochtha,caoch,chaoch mé,ar chaoch mé,níor chaoch mé,chaoch tú,ar chaoch tú,níor chaoch tú,chaoch sé, sí,ar chaoch sé, sí,níor chaoch sé, sí,chaochamar,ar chaochamar,níor chaochamar,chaoch sibh,ar chaoch sibh,níor chaoch sibh,chaoch siad,ar chaoch siad,níor chaoch siad,chaochadar,ar chaochadar,níor chaochadar
caoindíol,soft-sell,caoindíoltha,caoindíol,chaoindíol mé,ar chaoindíol mé,níor chaoindíol mé,chaoindíol tú,ar chaoindíol tú,níor chaoindíol tú,chaoindíol sé, sí,ar chaoindíol sé, sí,níor chaoindíol sé, sí,chaoindíolamar,ar chaoindíolamar,níor chaoindíolamar,chaoindíol sibh,ar chaoindíol sibh,níor chaoindíol sibh,chaoindíol siad,ar chaoindíol siad,níor chaoindíol siad,chaoindíoladar,ar chaoindíoladar,níor chaoindíoladar
car,love,cartha,car,char mé,ar char mé,níor char mé,char tú,ar char tú,níor char tú,char sé, sí,ar char sé, sí,níor char sé, sí,charamar,ar charamar,níor charamar,char sibh,ar char sibh,níor char sibh,char siad,ar char siad,níor char siad,charadar,ar charadar,níor charadar
cam,heap,camtha,cam,cham mé,ar cham mé,níor cham mé,cham tú,ar cham tú,níor cham tú,cham sé, sí,ar cham sé, sí,níor cham sé, sí,chamamar,ar chamamar,níor chamamar,cham sibh,ar cham sibh,níor cham sibh,cham siad,ar cham siad,níor cham siad,chamadar,ar chamadar,níor chamadar
cart,tan,carttha,cart,chart mé,ar chart mé,níor chart mé,chart tú,ar chart tú,níor chart tú,chart sé, sí,ar chart sé, sí,níor chart sé, sí,chartamar,ar chartamar,níor chartamar,chart sibh,ar chart sibh,níor chart sibh,chart siad,ar chart siad,níor chart siad,chartadar,ar chartadar,níor chartadar
cas,twist,castha,cas,chas mé,ar chas mé,níor chas mé,chas tú,ar chas tú,níor chas tú,chas sé, sí,ar chas sé, sí,níor chas sé, sí,chasamar,ar chasamar,níor chasamar,chas sibh,ar chas sibh,níor chas sibh,chas siad,ar chas siad,níor chas siad,chasadar,ar chasadar,níor chasadar
céadcheap,invent,céadcheaptha,céadcheap,chéadcheap mé,ar chéadcheap mé,níor chéadcheap mé,chéadcheap tú,ar chéadcheap tú,níor chéadcheap tú,chéadcheap sé, sí,ar chéadcheap sé, sí,níor chéadcheap sé, sí,chéadcheapamar,ar chéadcheapamar,níor chéadcheapamar,chéadcheap sibh,ar chéadcheap sibh,níor chéadcheap sibh,chéadcheap siad,ar chéadcheap siad,níor chéadcheap siad,chéadcheapadar,ar chéadcheapadar,níor chéadcheapadar
cealg,beguile,cealgtha,cealg,chealg mé,ar chealg mé,níor chealg mé,chealg tú,ar chealg tú,níor chealg tú,chealg sé, sí,ar chealg sé, sí,níor chealg sé, sí,chealgamar,ar chealgamar,níor chealgamar,chealg sibh,ar chealg sibh,níor chealg sibh,chealg siad,ar chealg siad,níor chealg siad,chealgadar,ar chealgadar,níor chealgadar
ceap,invent,ceaptha,ceap,cheap mé,ar cheap mé,níor cheap mé,cheap tú,ar cheap tú,níor cheap tú,cheap sé, sí,ar cheap sé, sí,níor cheap sé, sí,cheapamar,ar cheapamar,níor cheapamar,cheap sibh,ar cheap sibh,níor cheap sibh,cheap siad,ar cheap siad,níor cheap siad,cheapadar,ar cheapadar,níor cheapadar
céas,crucify,céastha,céas,chéas mé,ar chéas mé,níor chéas mé,chéas tú,ar chéas tú,níor chéas tú,chéas sé, sí,ar chéas sé, sí,níor chéas sé, sí,chéasamar,ar chéasamar,níor chéasamar,chéas sibh,ar chéas sibh,níor chéas sibh,chéas siad,ar chéas siad,níor chéas siad,chéasadar,ar chéasadar,níor chéasadar
céimbhog,inch,céimbhogtha,céimbhog,chéimbhog mé,ar chéimbhog mé,níor chéimbhog mé,chéimbhog tú,ar chéimbhog tú,níor chéimbhog tú,chéimbhog sé, sí,ar chéimbhog sé, sí,níor chéimbhog sé, sí,chéimbhogamar,ar chéimbhogamar,níor chéimbhogamar,chéimbhog sibh,ar chéimbhog sibh,níor chéimbhog sibh,chéimbhog siad,ar chéimbhog siad,níor chéimbhog siad,chéimbhogadar,ar chéimbhogadar,níor chéimbhogadar
ciap,harass,ciaptha,ciap,chiap mé,ar chiap mé,níor chiap mé,chiap tú,ar chiap tú,níor chiap tú,chiap sé, sí,ar chiap sé, sí,níor chiap sé, sí,chiapamar,ar chiapamar,níor chiapamar,chiap sibh,ar chiap sibh,níor chiap sibh,chiap siad,ar chiap siad,níor chiap siad,chiapadar,ar chiapadar,níor chiapadar
ciar,wax,ciartha,ciar,chiar mé,ar chiar mé,níor chiar mé,chiar tú,ar chiar tú,níor chiar tú,chiar sé, sí,ar chiar sé, sí,níor chiar sé, sí,chiaramar,ar chiaramar,níor chiaramar,chiar sibh,ar chiar sibh,níor chiar sibh,chiar siad,ar chiar siad,níor chiar siad,chiaradar,ar chiaradar,níor chiaradar
cineach,devolve,cineachtha,cineach,chineach mé,ar chineach mé,níor chineach mé,chineach tú,ar chineach tú,níor chineach tú,chineach sé, sí,ar chineach sé, sí,níor chineach sé, sí,chineachamar,ar chineachamar,níor chineachamar,chineach sibh,ar chineach sibh,níor chineach sibh,chineach siad,ar chineach siad,níor chineach siad,chineachadar,ar chineachadar,níor chineachadar
cionn,take care of,cionntha,cionn,chionn mé,ar chionn mé,níor chionn mé,chionn tú,ar chionn tú,níor chionn tú,chionn sé, sí,ar chionn sé, sí,níor chionn sé, sí,chionnamar,ar chionnamar,níor chionnamar,chionn sibh,ar chionn sibh,níor chionn sibh,chionn siad,ar chionn siad,níor chionn siad,chionnadar,ar chionnadar,níor chionnadar
cíor,comb,cíortha,cíor,chíor mé,ar chíor mé,níor chíor mé,chíor tú,ar chíor tú,níor chíor tú,chíor sé, sí,ar chíor sé, sí,níor chíor sé, sí,chíoramar,ar chíoramar,níor chíoramar,chíor sibh,ar chíor sibh,níor chíor sibh,chíor siad,ar chíor siad,níor chíor siad,chíoradar,ar chíoradar,níor chíoradar
clab,swallow greedily,clabtha,clab,chlab mé,ar chlab mé,níor chlab mé,chlab tú,ar chlab tú,níor chlab tú,chlab sé, sí,ar chlab sé, sí,níor chlab sé, sí,chlabamar,ar chlabamar,níor chlabamar,chlab sibh,ar chlab sibh,níor chlab sibh,chlab siad,ar chlab siad,níor chlab siad,chlabadar,ar chlabadar,níor chlabadar
clag,clack,clagtha,clag,chlag mé,ar chlag mé,níor chlag mé,chlag tú,ar chlag tú,níor chlag tú,chlag sé, sí,ar chlag sé, sí,níor chlag sé, sí,chlagamar,ar chlagamar,níor chlagamar,chlag sibh,ar chlag sibh,níor chlag sibh,chlag siad,ar chlag siad,níor chlag siad,chlagadar,ar chlagadar,níor chlagadar
claon,incline,claontha,claon,chlaon mé,ar chlaon mé,níor chlaon mé,chlaon tú,ar chlaon tú,níor chlaon tú,chlaon sé, sí,ar chlaon sé, sí,níor chlaon sé, sí,chlaonamar,ar chlaonamar,níor chlaonamar,chlaon sibh,ar chlaon sibh,níor chlaon sibh,chlaon siad,ar chlaon siad,níor chlaon siad,chlaonadar,ar chlaonadar,níor chlaonadar
